"GR","NPHI","RHOB","RT","PHIE"
109.63,0.2509,2.164,1.25,0.235877
103.46,0.2534,2.187,1.2,0.241818
106.4,0.251,2.183,1.2,0.238215
105.8,0.2433,2.169,1.21,0.24106
93.89,0.2441,2.172,1.19,0.255286
98.47,0.2539,2.169,1.17,0.254824
101.38,0.2464,2.149,1.13,0.255425
100.33,0.2479,2.163,1.13,0.252612
93.58,0.2657,2.175,1.16,0.263325
91.6,0.2651,2.181,1.17,0.263509
101.06,0.2644,2.181,1.19,0.251104
101.43,0.2642,2.176,1.19,0.251206
104.12,0.2439,2.166,1.18,0.244086
102.94,0.2283,2.156,1.19,0.261355
105.86,0.2291,2.156,1.2,0.246651
114.31,0.2728,2.152,1.22,0.238013
106.74,0.2742,2.181,1.25,0.245511
107.35,0.2675,2.201,1.3,0.236943
112.13,0.2595,2.208,1.33,0.221142
100.95,0.2786,2.218,1.33,0.244508
104.21,0.2852,2.206,1.34,0.245676
112.96,0.2801,2.196,1.34,0.233463
108.24,0.268,2.205,1.35,0.231526
98.36,0.2602,2.204,1.35,0.245719
117.49,0.2606,2.19,1.36,0.218449
110.98,0.2625,2.207,1.38,0.227328
109.81,0.2643,2.205,1.4,0.225982
107.43,0.2653,2.198,1.44,0.235703
109.53,0.2742,2.194,1.49,0.236698
110.48,0.2872,2.194,1.54,0.237595
109.15,0.2966,2.262,1.62,0.084587
103.42,0.2922,2.283,1.71,0.055574
106.12,0.2462,2.307,1.79,0.172588
114.76,0.2317,2.316,1.89,0.180673
108.21,0.2105,2.378,1.97,0.122215
99.32,0.2068,2.395,1.92,0.09724
105.58,0.2138,2.399,1.89,0.058954
111.27,0.2295,2.39,1.86,0.03659
113.81,0.2244,2.341,1.83,0.156795
119.39,0.2289,2.33,1.81,0.1659
124.68,0.2302,2.313,1.74,0.185731
121.04,0.2398,2.293,1.72,0.199484
115.86,0.2335,2.288,1.71,0.208998
125.67,0.2075,2.282,1.72,0.15434
132.05,0.2142,2.266,1.71,0.143561
142.49,0.2035,2.282,1.73,0.116079
131.65,0.2008,2.318,1.72,0.197173
121.52,0.18,2.299,1.66,0.212329
122.8,0.1876,2.286,1.64,0.220201
136.16,0.1988,2.286,1.61,0.220201
122.99,0.1851,2.297,1.6,0.213541
125.12,0.1919,2.317,1.61,0.200243
122.81,0.1888,2.325,1.61,0.195004
124.03,0.1823,2.32,1.62,0.199615
112.99,0.1602,2.297,1.63,0.213541
117.74,0.1881,2.287,1.63,0.219596
126.41,0.1827,2.291,1.62,0.217174
120.53,0.1917,2.31,1.63,0.205392
129.83,0.177,2.318,1.63,0.200827
128.04,0.1854,2.317,1.63,0.201432
126.71,0.2016,2.302,1.64,0.209203
134.51,0.2092,2.31,1.63,0.200833
120.15,0.205,2.343,1.63,0.173715
127.06,0.2046,2.404,1.63,0.082922
131.35,0.2193,2.329,1.62,0.177664
127.53,0.2142,2.244,1.62,0.160617
127.51,0.2188,2.234,1.61,0.165977
126.71,0.2498,2.273,1.61,0.212897
128.29,0.2365,2.302,1.61,0.192441
138.39,0.2222,2.311,1.61,0.193901
130.79,0.227,2.329,1.6,0.169863
142.07,0.2142,2.324,1.59,0.186315
134.58,0.2304,2.319,1.59,0.178541
128.9,0.2344,2.338,1.59,0.142165
129.8,0.2281,2.349,1.59,0.136141
136.42,0.22,2.366,1.59,0.12266
138.43,0.2272,2.35,1.58,0.136419
136.04,0.1986,2.364,1.57,0.15709
120.52,0.2087,2.41,1.56,0.051773
124.1,0.2218,2.301,1.56,0.203315
126.59,0.2223,2.27,1.57,0.162083
128.45,0.1968,2.298,1.59,0.212938
124.73,0.214,2.302,1.6,0.205676
121.66,0.2227,2.324,1.6,0.180276
