"GR","NPHI","RHOB","RT","PHIE"
79.94,0.2354,2.121,1.29,0.285892
74.5,0.2594,2.139,1.25,0.293211
71.82,0.2636,2.138,1.24,0.296017
81.67,0.2668,2.124,1.22,0.296208
84.61,0.2569,2.093,1.22,0.300118
82.85,0.2492,2.092,1.24,0.298962
82.3,0.2469,2.093,1.23,0.297456
76.74,0.2456,2.082,1.2,0.307285
74.16,0.2386,2.087,1.18,0.305248
81.47,0.233,2.085,1.16,0.296604
88.07,0.2228,2.071,1.11,0.291949
84.21,0.2259,2.077,1.1,0.294215
82.3,0.2328,2.078,1.08,0.298552
81.14,0.274,2.072,1.08,0.317746
81.14,0.2749,2.071,1.13,0.317135
76.5,0.2429,2.065,1.17,0.31207
77.97,0.24,2.072,1.34,0.305978
82.27,0.2423,2.074,1.41,0.30197
73.51,0.2286,2.156,1.61,0.276186
66.06,0.1964,2.167,1.72,0.258666
90.88,0.1975,2.217,1.93,0.228309
95.83,0.2042,2.255,2.02,0.210679
95.07,0.2081,2.293,2.09,0.200956
106.22,0.2403,2.347,2.19,0.120459
111.45,0.2433,2.374,2.25,0.047155
119.35,0.2438,2.384,2.3,0.034704
127.04,0.2369,2.388,2.31,0.041173
133.3,0.2302,2.382,2.34,0.065639
119.78,0.1996,2.381,2.35,0.14406
119.74,0.2015,2.379,2.35,0.144537
121.7,0.2196,2.373,2.31,0.125815
121.7,0.2068,2.361,2.3,0.159479
122.38,0.1997,2.356,2.31,0.168575
122.86,0.2136,2.347,2.29,0.168752
130.65,0.2139,2.348,2.26,0.167503
130.42,0.2026,2.35,2.25,0.172464
122.85,0.1997,2.356,2.23,0.168582
125.08,0.2222,2.368,2.24,0.129135
127.47,0.2237,2.377,2.25,0.104596
123.61,0.2153,2.383,2.24,0.117159
116.11,0.2145,2.372,2.24,0.137464
110.08,0.214,2.372,2.23,0.13826
117.07,0.2138,2.343,2.21,0.172632
117.07,0.2113,2.343,2.21,0.174206
136.41,0.209,2.37,2.21,0.147465
143.7,0.2027,2.366,2.21,0.157444
118.36,0.1984,2.363,2.21,0.162988
111.26,0.1949,2.35,2.17,0.17561
121.31,0.1963,2.346,2.16,0.178343
122.84,0.2242,2.342,2.15,0.164778
132.13,0.2277,2.338,2.11,0.165733
133.98,0.2343,2.331,2.1,0.166438
139.09,0.2401,2.346,2.1,0.124334
126.75,0.2499,2.366,2.1,0.04514
122.84,0.2543,2.346,2.08,0.066017
129.8,0.2453,2.332,2.08,0.141168
129.8,0.2399,2.35,2.02,0.113647
121.69,0.1961,2.359,2.02,0.167676
121.69,0.1936,2.353,2.03,0.173655
137.94,0.2133,2.351,2.03,0.164905
132.21,0.2158,2.336,1.97,0.178158
107.77,0.22,2.336,1.97,0.175323
111.8,0.2195,2.313,1.99,0.196823
124.05,0.2101,2.317,2,0.196895
124.02,0.2096,2.351,1.98,0.16763
123.99,0.249,2.32,1.98,0.156614
123.29,0.2663,2.277,2,0.190269
122.86,0.2645,2.303,2,0.145444
124.64,0.2618,2.308,1.96,0.142465
125.06,0.2391,2.323,1.96,0.170814
124,0.2365,2.323,1.94,0.174304
125.63,0.2333,2.339,1.93,0.15637
128.64,0.2311,2.334,1.91,0.166777
127.83,0.2119,2.309,1.9,0.202575
128.8,0.2094,2.313,1.92,0.200194
139.06,0.204,2.326,1.92,0.191704
133.38,0.2049,2.327,1.93,0.190658
112.39,0.2413,2.329,1.93,0.157677
112.39,0.2434,2.329,1.96,0.152982
115.88,0.2277,2.271,1.96,0.191581
118.03,0.2217,2.271,1.95,0.18303
122.85,0.1785,2.276,1.95,0.162528
114.09,0.1759,2.277,1.91,0.192947
104.3,0.1942,2.283,1.91,0.190616
100.17,0.1953,2.287,1.89,0.193787
92.72,0.1871,2.297,1.89,0.194073
88.6,0.1858,2.297,1.9,0.197319
84.6,0.1816,2.287,1.9,0.202385
87.08,0.1834,2.287,1.89,0.201002
88.08,0.2049,2.285,1.89,0.209204
109.59,0.2077,2.281,1.92,0.190001
109.5,0.207,2.265,1.92,0.194817
104.3,0.192,2.265,1.95,0.195302
112.32,0.1914,2.267,1.95,0.185657
115.88,0.2001,2.267,1.97,0.18117
109.48,0.1969,2.281,1.99,0.186771
106.64,0.188,2.281,2.04,0.184954
97.87,0.1955,2.295,2.06,0.193513
95.04,0.2025,2.295,2.11,0.198714
126.3,0.2102,2.274,2.11,0.168429
126.3,0.2135,2.28,2.12,0.166321
115.91,0.2105,2.31,2.12,0.178852
115.91,0.2097,2.314,2.11,0.199369
105.45,0.2053,2.326,2.11,0.191345
105.45,0.2097,2.328,2.14,0.188244
114.6,0.2231,2.332,2.15,0.177207
119.38,0.2283,2.338,2.18,0.165219
106.89,0.2312,2.345,2.19,0.150803
100.79,0.2222,2.345,2.19,0.163531
89.03,0.2166,2.345,2.16,0.168721
84.62,0.2094,2.332,2.15,0.185035
105.81,0.201,2.317,2.16,0.179707
114.74,0.197,2.329,2.16,0.191274
105.04,0.2132,2.347,2.14,0.169237
99.67,0.219,2.339,2.12,0.173121
109.11,0.2182,2.335,2.09,0.177715
112.41,0.2085,2.339,2.1,0.179437
111.24,0.1992,2.339,2.11,0.183032
111.24,0.1821,2.35,2.12,0.179103
114.74,0.208,2.355,2.13,0.164895
114.74,0.2349,2.382,2.17,0.054092
107.45,0.2453,2.397,2.17,0.022684
105.45,0.2211,2.389,2.2,0.081778
115.23,0.2144,2.386,2.19,0.114128
118.21,0.2193,2.383,2.18,0.106123
132.12,0.2151,2.383,2.2,0.118268
136.77,0.2123,2.367,2.21,0.147713
123.89,0.2117,2.364,2.19,0.152057
120.51,0.2195,2.347,2.2,0.164014
127.47,0.2226,2.335,2.22,0.174509
127.47,0.2022,2.322,2.2,0.195271
133.27,0.2028,2.315,2.2,0.140287
133.27,0.2124,2.311,2.21,0.1433
125.16,0.2296,2.313,2.21,0.165006
125.16,0.2453,2.313,2.2,0.170476
113.57,0.2294,2.371,2.19,0.098076
113.57,0.222,2.368,2.18,0.13025
111.86,0.2285,2.355,2.17,0.139359
117.84,0.223,2.351,2.17,0.155067
148.34,0.213,2.343,2.16,0.173365
148.34,0.2168,2.349,2.14,0.164325
120.52,0.1989,2.354,2.15,0.170858
120.52,0.1913,2.376,2.15,0.155159
142.52,0.2112,2.381,2.14,0.129867
142.52,0.2138,2.37,2.12,0.141879
140.23,0.2187,2.362,2.1,0.145981
140.23,0.2207,2.338,2.05,0.172916
112.45,0.2348,2.344,2.04,0.145362
116.83,0.2389,2.35,2.02,0.119045
141.43,0.2408,2.357,1.96,0.088221
136.15,0.2041,2.36,1.99,0.162657
117.05,0.1933,2.373,2.03,0.15683
125.9,0.2199,2.378,2.04,0.115895
130.74,0.2169,2.382,2.05,0.115845
107.78,0.2178,2.388,2.07,0.099221
107.78,0.2149,2.382,2.08,0.120836
130.98,0.186,2.365,2.03,0.166728
130.59,0.1899,2.346,2.02,0.180308
129.77,0.2247,2.333,1.99,0.174978
140.39,0.2533,2.315,1.95,0.156009
146.03,0.2289,2.333,1.9,0.170938
124.63,0.232,2.335,1.89,0.164608
118.24,0.2347,2.335,1.91,0.160576
137.88,0.2006,2.332,1.91,0.188118
137.88,0.1991,2.334,1.93,0.187001
132.13,0.1998,2.353,1.93,0.171355
134.54,0.2061,2.348,1.9,0.172724
139.05,0.2221,2.346,1.94,0.162639
144.46,0.2167,2.342,1.97,0.1719
147.19,0.202,2.331,1.98,0.188493
132.52,0.1897,2.304,1.98,0.109431
131.31,0.1744,2.32,1.96,0.129187
134.41,0.1605,2.332,1.96,0.09712
131.44,0.1612,2.338,1.99,0.077245
129.77,0.177,2.34,1.99,0.130494
126.96,0.1952,2.346,1.97,0.128118
127.05,0.2018,2.343,1.97,0.115742
128.66,0.1989,2.338,1.96,0.133113
127.7,0.1962,2.344,1.95,0.129462
127.47,0.1976,2.321,1.96,0.105781
127.49,0.205,2.315,1.98,0.098095
127.5,0.2116,2.302,1.98,0.101955
128.59,0.1942,2.309,1.97,0.143887
132.13,0.1787,2.335,1.98,0.077692
136.91,0.1795,2.34,2.01,0.063667
132.14,0.1846,2.352,2.03,0.094434
113.6,0.1668,2.341,2.03,0.14356
113.61,0.1523,2.329,2.04,0.149085
116.87,0.1578,2.302,2.04,0.149317
128.63,0.1743,2.299,2.06,0.113203
131.77,0.1653,2.362,2.03,0.068753
132.3,0.1455,2.32,2.02,0.114798
123.96,0.1596,2.317,2.03,0.12605
133.52,0.1499,2.316,2.03,0.108235
153,0.1547,2.339,2.02,0.005545
139,0.1587,2.343,2.01,0.07578
128.62,0.1641,2.353,2.01,0.096049
121.66,0.1517,2.353,2,0.124696
119.33,0.1466,2.364,2,0.11891
120.5,0.154,2.336,2.02,0.109252
118.72,0.1617,2.33,2.01,0.138022
117.77,0.1749,2.339,2.01,0.135493
137.56,0.1684,2.341,2.03,0.105697
130.03,0.1367,2.336,2.03,0.111708
126.31,0.143,2.331,2.02,0.1034
139.08,0.1871,2.335,2.02,0.112776
139.08,0.2067,2.334,2.02,0.117933
122.81,0.1747,2.371,2.02,0.128019
122.81,0.1717,2.347,2.03,0.129662
122.84,0.1802,2.332,2.03,0.135872
121.52,0.1868,2.318,2.03,0.144224
119.37,0.1839,2.325,2.03,0.139276
120.22,0.2017,2.33,2.03,0.13927
124.05,0.1947,2.336,2.03,0.143334
136.78,0.1733,2.348,2.03,0.068758
133.71,0.1832,2.342,2,0.11137
134.65,0.2199,2.321,2.03,0.092784
134.65,0.2011,2.332,2.01,0.074317
113.57,0.1877,2.326,1.99,0.161244
115.42,0.1895,2.317,1.99,0.140994
123.47,0.1929,2.313,1.97,0.140321
122.44,0.2007,2.304,1.96,0.136303
135.31,0.2073,2.349,1.94,0.079015
138.48,0.1908,2.349,1.92,0.079297
136.82,0.1883,2.36,1.9,0.067193
133.85,0.1845,2.373,1.89,0.110098
133.43,0.1687,2.343,1.88,0.105591
135.76,0.1829,2.341,1.85,0.1179
141.26,0.1962,2.348,1.81,0.066448
132.28,0.1611,2.342,1.81,0.078168
138.25,0.1613,2.332,1.84,0.100144
123.71,0.1605,2.334,1.92,0.136427
134,0.1449,2.351,2.03,0.108073
124.39,0.1538,2.381,2.12,0.112445
110.14,0.1607,2.408,2.21,0.121994
111.38,0.1681,2.42,2.27,0.120726
113.69,0.1492,2.407,2.28,0.144501
101.11,0.1724,2.392,2.28,0.149821
114.68,0.193,2.363,2.3,0.165877
99.64,0.1893,2.334,2.35,0.175869
99.3,0.1887,2.323,2.37,0.178479
116.02,0.2031,2.309,2.39,0.171879
107.97,0.2175,2.299,2.41,0.188504
103.68,0.2174,2.33,2.4,0.183022
109.41,0.2156,2.299,2.41,0.187073
117.71,0.2064,2.347,2.44,0.173609
105.73,0.2012,2.402,2.53,0.115274
106.53,0.2358,2.372,2.54,0.071166
103.47,0.2354,2.359,2.53,0.108885
117.64,0.2194,2.357,2.5,0.152286
117.04,0.2202,2.36,2.49,0.147077
106.92,0.2236,2.349,2.49,0.157403
105.64,0.2298,2.359,2.5,0.129098
93.79,0.2328,2.348,2.52,0.143217
96.32,0.2372,2.343,2.51,0.142174
119.11,0.24,2.354,2.5,0.101975
103.21,0.2376,2.368,2.46,0.07411
109.31,0.2305,2.373,2.48,0.088341
98.67,0.2292,2.37,2.49,0.10383
94.1,0.2305,2.381,2.4,0.068889
94.47,0.2279,2.385,2.37,0.068571
104.3,0.2151,2.387,2.35,0.111231
116.14,0.2049,2.352,2.37,0.169914
114.54,0.1994,2.348,2.37,0.175872
110.38,0.208,2.354,2.35,0.166209
112.58,0.2043,2.324,2.35,0.171286
142.52,0.215,2.346,2.34,0.16932
111.87,0.2375,2.375,2.3,0.060604
103.32,0.2282,2.363,2.29,0.125211
121.41,0.2324,2.359,2.29,0.121113
112.7,0.2583,2.359,2.28,0.040029
120.54,0.2487,2.367,2.27,0.047588
125.31,0.2372,2.346,2.26,0.136029
116.4,0.2324,2.354,2.25,0.132559
107.55,0.2398,2.388,2.21,0.037947
116.24,0.2497,2.369,2.2,0.043209
129.06,0.2277,2.369,2.19,0.112774
124.68,0.2283,2.373,2.19,0.098728
111.28,0.2317,2.373,2.17,0.08364
119.02,0.2392,2.346,2.15,0.129733
120.47,0.2758,2.346,2.13,0.027486
113.66,0.3022,2.333,2.06,0.011906
107.14,0.2552,2.334,2.02,0.09236
114.73,0.2388,2.357,1.96,0.098617
119.97,0.2427,2.352,1.84,0.095681
115.25,0.236,2.345,1.75,0.141475
120.81,0.2259,2.325,1.72,0.182742
127.45,0.2386,2.316,1.71,0.181397
141.38,0.2392,2.313,1.73,0.184351
138.09,0.2133,2.313,1.74,0.199266
134.31,0.2171,2.313,1.75,0.198017
123.93,0.2262,2.317,1.73,0.190348
140.3,0.2089,2.323,1.77,0.192772
147.4,0.1901,2.354,1.77,0.174247
139.06,0.209,2.326,1.77,0.19035
145.84,0.2455,2.309,1.76,0.182071
141.32,0.2489,2.31,1.76,0.175612
130.98,0.2437,2.291,1.78,0.204341
141.4,0.2423,2.297,1.79,0.199267
134.97,0.2395,2.305,1.75,0.193076
131.13,0.2382,2.291,1.76,0.207677
132.12,0.2404,2.29,1.79,0.207388
132.12,0.2415,2.294,1.81,0.202876
134.44,0.25,2.308,1.83,0.176858
136.77,0.2527,2.31,1.82,0.168368
135.97,0.2708,2.311,1.84,0.089787
133.31,0.2693,2.313,1.87,0.090629
138.51,0.2362,2.327,1.84,0.170347
142.54,0.2355,2.334,1.82,0.161474
133.93,0.241,2.301,1.81,0.19613
132.99,0.2515,2.32,1.81,0.151413
136.76,0.2572,2.333,1.79,0.087224
139.38,0.257,2.329,1.79,0.099009
140.71,0.2565,2.329,1.77,0.101332
134.12,0.2538,2.339,1.77,0.085255
135.03,0.2518,2.314,1.8,0.163069
139.08,0.2353,2.319,1.8,0.181363
129.24,0.234,2.325,1.8,0.175608
137.7,0.2377,2.325,1.77,0.171069
152.65,0.2382,2.329,1.77,0.164628
143.71,0.2394,2.338,1.77,0.146948
138.4,0.2375,2.333,1.77,0.159682
135.7,0.2178,2.33,1.77,0.183119
130.94,0.2219,2.327,1.81,0.183532
130.27,0.2804,2.33,1.82,0.035627
132.73,0.2693,2.342,1.83,0.040879
147.15,0.2201,2.34,1.84,0.171769
131.01,0.2153,2.339,1.86,0.176162
142.55,0.215,2.355,1.86,0.159854
163.42,0.2105,2.355,1.94,0.163628
136.16,0.2118,2.336,1.96,0.180844
132.64,0.2451,2.336,2,0.134443
141.38,0.2473,2.309,2,0.179741
148.62,0.2342,2.309,1.99,0.193051
145.64,0.2163,2.294,1.95,0.18456
128.28,0.2141,2.295,1.92,0.158478
130.26,0.2091,2.308,1.87,0.204205
153.82,0.2092,2.316,1.83,0.198167
140.03,0.2121,2.316,1.81,0.197329
166.33,0.2128,2.316,1.8,0.197112
168.42,0.2101,2.313,1.78,0.200216
143.72,0.2091,2.311,1.77,0.201977
129.19,0.209,2.318,1.74,0.196691
120.56,0.2131,2.322,1.72,0.192195
138.37,0.2173,2.317,1.73,0.194725
141.07,0.2173,2.315,1.74,0.196377
132.09,0.221,2.319,1.74,0.191406
132.1,0.2246,2.319,1.74,0.189515
134.04,0.2248,2.331,1.72,0.177548
152.91,0.2263,2.33,1.72,0.177391
156.07,0.2268,2.329,1.73,0.178049
157.63,0.2304,2.324,1.73,0.180396
156.1,0.2326,2.321,1.74,0.181752
154.15,0.2508,2.337,1.74,0.10431
141.48,0.2483,2.351,1.79,0.077056
128.64,0.2054,2.348,1.79,0.17341
136.75,0.2025,2.345,1.79,0.177274
147.17,0.2177,2.333,1.79,0.180456
135.92,0.2301,2.324,1.82,0.180675
131.42,0.2382,2.349,1.81,0.126469
150.46,0.246,2.361,1.81,0.063873
144.62,0.2477,2.344,1.81,0.097549
139.08,0.2575,2.34,1.77,0.070934
139.08,0.2575,2.352,1.77,0.050846
139.08,0.2486,2.348,1.84,0.083107
142.77,0.2456,2.301,1.84,0.192163
143.71,0.2255,2.302,1.83,0.204011
137.91,0.2259,2.302,1.82,0.203855
138.74,0.2499,2.299,1.83,0.189851
142.55,0.2523,2.294,1.84,0.193342
142.55,0.25,2.294,1.84,0.195915
142.55,0.2275,2.303,1.84,0.202354
140.04,0.2284,2.303,1.84,0.201957
139.06,0.2599,2.299,1.81,0.172747
149.76,0.2622,2.299,1.81,0.166732
151.83,0.2537,2.299,1.83,0.184673
142.55,0.2532,2.322,1.84,0.141304
144.1,0.2573,2.345,1.81,0.062327
152.96,0.2586,2.332,1.8,0.085053
152.96,0.2682,2.307,1.8,0.114326
131,0.2795,2.306,1.8,0.071607
131,0.2857,2.314,1.83,0.044493
140.22,0.294,2.322,1.88,0.024456
140.22,0.291,2.322,1.88,0.02819
152.94,0.2534,2.322,1.81,0.140609
152.94,0.2492,2.301,1.81,0.188197
139.05,0.245,2.301,1.82,0.192823
138.19,0.2439,2.312,1.82,0.180531
135.6,0.2368,2.312,1.9,0.188041
144.73,0.2375,2.3,1.9,0.19982
151.82,0.2516,2.295,1.88,0.192981
131.54,0.2549,2.317,1.87,0.148126
125.17,0.2731,2.332,1.86,0.046298
125.17,0.2725,2.334,1.86,0.044959
125.17,0.2482,2.336,1.86,0.122146
120.11,0.2483,2.335,1.84,0.124817
113.58,0.274,2.332,1.84,0.044624
113.58,0.2766,2.332,1.82,0.040037
150.65,0.2495,2.33,1.82,0.134266
147.48,0.2223,2.33,1.84,0.180525
136.73,0.2223,2.329,1.84,0.181509
127.81,0.2312,2.329,1.88,0.174091
137.03,0.2405,2.34,1.9,0.140494
140.47,0.2457,2.34,1.91,0.121495
140.47,0.2534,2.306,1.92,0.174427
132.14,0.2477,2.289,1.92,0.164673
132.14,0.2423,2.292,1.92,0.163003
132.14,0.2119,2.297,1.93,0.15034
114.74,0.2095,2.297,1.97,0.17817
114.74,0.2173,2.309,1.98,0.201284
123.74,0.2341,2.309,1.99,0.193294
132.11,0.2707,2.333,1.99,0.049891
131.24,0.2724,2.333,2.01,0.04651
129.79,0.2686,2.308,2.01,0.109362
128.6,0.2431,2.295,1.96,0.169776
125.19,0.2409,2.323,1.96,0.169653
125.19,0.2412,2.365,1.98,0.070493
132.13,0.2343,2.365,1.98,0.096694
132.13,0.2139,2.326,1.99,0.188661
128.66,0.2066,2.326,2.01,0.191256
128.66,0.2254,2.296,2.01,0.16352
135.59,0.2293,2.296,1.96,0.178389
135.59,0.2454,2.317,1.96,0.17139
135.58,0.2137,2.317,1.96,0.196115
135.58,0.1832,2.355,1.97,0.175398
122.69,0.2025,2.355,1.99,0.168761
113.59,0.2268,2.339,1.98,0.166889
124.75,0.2902,2.335,1.96,0.019865
143.65,0.2885,2.329,1.93,0.025955
143.65,0.2101,2.329,1.91,0.187679
136.76,0.2053,2.338,1.93,0.182088
136.76,0.2358,2.338,1.93,0.155349
140.23,0.2265,2.347,1.86,0.156963
140.23,0.2018,2.347,1.87,0.175993
133.76,0.2163,2.343,1.88,0.171829
129.82,0.236,2.34,1.91,0.151641
133.76,0.2299,2.34,1.92,0.161838
139.08,0.2276,2.365,1.93,0.12394
139.08,0.2517,2.365,1.9,0.04554
143.69,0.2514,2.365,1.91,0.046109
143.69,0.2238,2.358,1.93,0.145221
132.14,0.2258,2.355,1.92,0.146415
132.14,0.2714,2.339,1.92,0.041347
132.11,0.26,2.329,1.95,0.087824
132.1,0.2392,2.316,1.95,0.181274
150.12,0.2141,2.328,1.93,0.186917
161.11,0.2141,2.332,1.93,0.183449
154,0.2374,2.336,1.93,0.155682
146.03,0.2396,2.336,1.93,0.151085
147.09,0.2379,2.331,1.93,0.162734
148.34,0.2322,2.344,1.92,0.152413
145.56,0.2248,2.361,1.92,0.138577
143.68,0.2373,2.34,1.93,0.148969
139.24,0.2506,2.336,1.93,0.109814
136.77,0.2655,2.339,1.94,0.05283
136.75,0.2711,2.357,1.94,0.02533
136.74,0.2552,2.36,1.92,0.045418
136.74,0.2494,2.335,1.92,0.120149
132.1,0.2091,2.304,1.91,0.145373
132.1,0.2098,2.3,1.9,0.148555
136.75,0.2572,2.326,1.89,0.109112
136.75,0.2593,2.321,1.87,0.114995
136.75,0.2317,2.305,1.87,0.198684
132.08,0.2291,2.306,1.9,0.199137
132.08,0.2304,2.307,1.91,0.197565
119.35,0.2311,2.322,1.93,0.182283
120.13,0.2363,2.322,1.93,0.177238
129.52,0.2345,2.35,1.93,0.136583
132.28,0.2112,2.35,1.93,0.168474
135.57,0.2124,2.362,1.93,0.154841
135.07,0.2488,2.359,1.94,0.060922
134.44,0.2632,2.33,1.94,0.074588
134.47,0.2418,2.332,1.95,0.153603
133.48,0.2427,2.337,1.95,0.141156
127.49,0.2748,2.349,1.91,0.027186
129.14,0.2827,2.37,1.91,0.009931
132.11,0.2412,2.361,1.96,0.079893
132.11,0.2386,2.358,1.95,0.098709
131.91,0.2555,2.365,1.92,0.039216
130.52,0.2555,2.365,1.91,0.039222
125.07,0.2387,2.338,1.88,0.149649
132.52,0.2366,2.348,1.88,0.135031
142.55,0.2323,2.382,1.99,0.063606
128.23,0.2331,2.395,2,0.042205
119.36,0.2465,2.398,2.02,0.022335
123.64,0.262,2.371,2.03,0.025277
123.53,0.2624,2.371,2.08,0.024846
114.77,0.262,2.369,2.08,0.026784
133.84,0.259,2.364,1.98,0.034971
143.69,0.2329,2.334,1.98,0.166102
126.31,0.2266,2.338,1.98,0.168526
126.31,0.2311,2.347,1.98,0.149832
131.5,0.242,2.34,1.93,0.136631
136.75,0.2488,2.329,1.93,0.140389
134.65,0.212,2.344,2.03,0.17377
133.27,0.2001,2.355,2.04,0.170023
143.72,0.2207,2.326,2.02,0.18552
143.72,0.2242,2.305,2.02,0.20128
144.85,0.2372,2.323,2,0.175055
143.95,0.239,2.333,2,0.157858
142.54,0.2398,2.333,2.02,0.156286
138.38,0.2386,2.334,2.02,0.156982
136.76,0.2371,2.381,2.02,0.053531
131.87,0.2303,2.381,2.02,0.071776
129.8,0.2242,2.373,2.03,0.116943
118.69,0.2242,2.368,2.03,0.127493
117.06,0.2225,2.38,1.98,0.105829
117.02,0.2017,2.391,2.03,0.131577
121.29,0.1956,2.377,2.04,0.152511
124.02,0.2164,2.36,2.01,0.153128
135.84,0.2202,2.35,2.02,0.161071
142.58,0.2236,2.338,2.02,0.171487
137.13,0.2098,2.334,1.97,0.183749
135.58,0.2026,2.331,1.96,0.188639
120.53,0.2163,2.346,1.94,0.16898
122.81,0.2203,2.352,1.94,0.158573
134.42,0.2459,2.326,1.96,0.155562
134.42,0.246,2.313,1.95,0.17678
122.86,0.2218,2.33,1.95,0.181124
129.42,0.2255,2.345,1.97,0.161265
151.83,0.2399,2.345,1.98,0.131882
149.64,0.2223,2.344,1.98,0.165983
143.74,0.2114,2.339,1.98,0.178711
140.65,0.2032,2.321,1.94,0.196052
136.75,0.2162,2.318,1.93,0.194547
141.67,0.2289,2.319,1.97,0.187198
146.05,0.2115,2.344,1.97,0.174124
146.05,0.2166,2.336,2,0.178633
129.79,0.2597,2.327,2.01,0.095211
129.79,0.2262,2.327,2.05,0.181081
135.58,0.1874,2.332,2.07,0.142713
135.58,0.2058,2.347,2.08,0.174396
112.43,0.208,2.343,2.12,0.176855
112.43,0.208,2.338,2.13,0.181155
123.99,0.2051,2.365,2.21,0.157961
123.99,0.2051,2.378,2.21,0.143836
108.96,0.2051,2.394,2.22,0.122481
112.36,0.2043,2.398,2.19,0.117637
126.31,0.1961,2.35,2.14,0.175773
126.31,0.2015,2.349,2.1,0.174591
120.5,0.2214,2.345,2.08,0.165775
120.5,0.2541,2.348,2.03,0.066956
103.12,0.2599,2.356,2.05,0.042335
103.12,0.2593,2.35,2.08,0.05111
96.19,0.251,2.338,2.02,0.102429
96.19,0.2469,2.343,1.99,0.106657
128.68,0.2146,2.349,1.98,0.167265
128.47,0.2123,2.31,1.96,0.202081
127.46,0.2219,2.289,1.95,0.166792
128.7,0.2205,2.272,1.94,0.169925
128.96,0.1977,2.269,1.93,0.160335
122.39,0.1967,2.267,1.93,0.173725
108.65,0.2104,2.268,1.98,0.197149
97.35,0.2127,2.269,2.03,0.208765
115.86,0.223,2.262,2.03,0.191583
115.44,0.2351,2.259,2.07,0.195392
112.41,0.277,2.264,2.11,0.195844
114.01,0.2717,2.266,2.11,0.20296
118.23,0.2646,2.262,2.09,0.202131
117.18,0.2595,2.275,2.03,0.201639
115.89,0.2158,2.289,1.97,0.183089
115.91,0.2106,2.258,1.93,0.188773
115.91,0.2042,2.248,1.95,0.19153
104.53,0.2179,2.233,1.92,0.215802
101.97,0.2503,2.233,1.86,0.229599
110.1,0.2421,2.226,1.86,0.222735
110.1,0.2306,2.219,1.74,0.220158
92.72,0.2273,2.212,1.74,0.239141
92.72,0.2268,2.212,1.71,0.238799
112.39,0.2246,2.184,1.71,0.224184
112.17,0.2042,2.182,1.71,0.217371
111.29,0.2189,2.182,1.71,0.226638
117.8,0.2545,2.176,1.77,0.230918
122.85,0.2558,2.169,1.77,0.221469
111.26,0.255,2.163,1.76,0.243855
111.03,0.2765,2.163,1.77,0.255344
110.1,0.2864,2.167,1.78,0.256449
110.1,0.2361,2.171,1.82,0.239205
103.14,0.2324,2.211,1.86,0.230391
105.51,0.2465,2.204,1.86,0.23569
112.41,0.2379,2.219,1.88,0.213645
121.07,0.2182,2.23,1.88,0.195646
125.78,0.2393,2.229,1.87,0.191233
109.69,0.2608,2.228,1.84,0.227087
108.33,0.241,2.216,1.81,0.22458
108.94,0.2362,2.21,1.79,0.22682
107.05,0.2629,2.218,1.77,0.23576
106.66,0.2637,2.226,1.77,0.23387
102.01,0.244,2.221,1.8,0.233322
111.54,0.2369,2.216,1.79,0.221232
121.69,0.2343,2.218,1.75,0.204364
116.1,0.2411,2.219,1.79,0.209866
114.16,0.2345,2.209,1.86,0.216063
118.23,0.2248,2.201,1.92,0.211117
118.99,0.2227,2.205,1.98,0.203356
121.04,0.2242,2.206,2.03,0.199711
123.09,0.2491,2.303,2.05,0.180877
125.14,0.2599,2.303,1.96,0.16623
125.14,0.2711,2.324,1.96,0.064115
147.19,0.2685,2.324,1.93,0.071457
147.19,0.2325,2.312,1.92,0.191839
158.25,0.2334,2.302,1.85,0.200754
150.86,0.2776,2.306,1.85,0.079641
137.98,0.2792,2.307,1.86,0.072471
150.7,0.2473,2.325,1.84,0.154629
154.34,0.2175,2.325,1.84,0.188224
156.45,0.2223,2.331,1.76,0.180014
150.61,0.2274,2.331,1.78,0.176095
150.61,0.2274,2.324,1.88,0.183445
142.19,0.2242,2.324,1.94,0.185573
130.99,0.1945,2.343,2.02,0.181766
128.59,0.2066,2.343,2.15,0.177622
122.86,0.2201,2.369,2.19,0.135382
123.31,0.2231,2.372,2.22,0.123123
123.99,0.2193,2.384,2.22,0.108104
130.1,0.2156,2.393,2.21,0.098951
137.89,0.246,2.398,2.16,0.02335
156.65,0.2469,2.378,2.12,0.039638
169.21,0.2245,2.371,2.09,0.121377
137.83,0.2216,2.371,2.06,0.128814
132.1,0.2147,2.321,1.98,0.192766
134.46,0.216,2.32,1.96,0.193102
134.46,0.2353,2.319,1.87,0.182305
137.72,0.2382,2.305,1.87,0.194899
141.4,0.2375,2.287,1.88,0.15864
139.1,0.2203,2.277,1.89,0.138644
137.94,0.2191,2.271,1.86,0.146014
132.94,0.2253,2.287,1.85,0.20617
132.12,0.2262,2.289,1.82,0.214429
122.85,0.2279,2.287,1.83,0.215489
122.85,0.2181,2.3,1.91,0.208218
151.81,0.1951,2.307,1.89,0.148511
151.81,0.1953,2.323,1.88,0.192398
142.3,0.2195,2.325,1.86,0.187309
137.9,0.2228,2.288,1.89,0.184468
125.16,0.2317,2.289,1.92,0.17554
126.55,0.2315,2.29,1.89,0.191896
137.88,0.2262,2.29,1.87,0.208602
138.72,0.2262,2.302,1.74,0.204083
