"depth","lith","agk","ang","por"
1091.6,"18",0.42473,0.13612,0.08138
1091.7,"18",0.40796,0.13343,0.10157
1091.8,"18",0.38745,0.1269,0.11561
1091.9,"18",0.3829,0.10958,0.11759
1092,"18",0.389,0.09896,0.11026
1092.1,"18",0.40366,0.09228,0.0819
1092.2,"94",0.44744,0.07874,0.03458
1092.3,"94",0.50212,0.07192,0.01
1092.4,"94",0.53455,0.06105,0.01
1092.5,"94",0.55027,0.03594,0.01
1092.6,"94",0.57412,0.01207,0.01
1092.7,"94",0.57943,0,0.02719
1092.8,"94",0.55928,0,0.02057
1092.9,"94",0.55009,0.02142,0.01
1093,"94",0.54487,0.04491,0.01941
1093.1,"94",0.52482,0.06011,0.05899
1093.2,"18",0.47773,0.07117,0.10988
1093.3,"18",0.4244,0.06711,0.14632
1093.4,"18",0.40496,0.03854,0.17003
1093.5,"18",0.40701,0.00537,0.17166
1093.6,"18",0.41028,0,0.14828
1093.7,"18",0.43785,0,0.13501
1093.8,"18",0.45275,0,0.16355
1093.9,"18",0.42005,0,0.17257
1094,"18",0.40022,0.00908,0.17576
1094.1,"18",0.39978,0.00551,0.19067
1094.2,"18",0.37393,0.01196,0.1859
1094.3,"18",0.36222,0.0294,0.15817
1094.4,"18",0.39472,0.03359,0.13911
1094.5,"18",0.41355,0.03878,0.14254
1094.6,"18",0.40323,0.04563,0.14778
1094.7,"18",0.40912,0.03199,0.13939
1094.8,"18",0.44022,0.00853,0.13448
1094.9,"18",0.45333,0,0.14975
1095,"18",0.43616,0,0.16259
1095.1,"94",0.42119,0,0.17156
1095.2,"94",0.40853,0.0019,0.18468
1095.3,"94",0.37805,0.01566,0.19623
1095.4,"94",0.35633,0.02136,0.19009
1095.5,"94",0.36115,0.02487,0.18263
1095.6,"94",0.36303,0.03299,0.17962
1095.7,"94",0.36115,0.0389,0.16658
1095.8,"94",0.3762,0.04154,0.15105
1095.9,"94",0.38319,0.05579,0.15382
1096,"94",0.36283,0.07375,0.15673
1096.1,"94",0.34211,0.09141,0.14758
1096.2,"94",0.33728,0.11101,0.14222
1096.3,"94",0.32291,0.13569,0.14014
1096.4,"94",0.29456,0.17062,0.12553
1096.5,"94",0.279,0.21682,0.10059
1096.6,"94",0.27833,0.27291,0.08044
1096.7,"94",0.27111,0.33432,0.07276
1096.8,"94",0.24222,0.40104,0.07031
1096.9,"94",0.20819,0.46231,0.06327
1097,"94",0.18518,0.52673,0.05863
1097.1,"94",0.16092,0.58727,0.05592
1097.2,"11",0.13676,0.63983,0.03164
1097.3,"11",0.13238,0.68338,0.02881
1097.4,"11",0.12742,0.71045,0.02805
1097.5,"11",0.10859,0.71812,0.02817
1097.6,"11",0.08924,0.71688,0.02862
1097.7,"11",0.06625,0.71228,0.02903
1097.8,"11",0.05425,0.70823,0.02835
1097.9,"11",0.06296,0.71507,0.02812
1098,"11",0.07299,0.71736,0.02849
1098.1,"11",0.08064,0.71364,0.02806
1098.2,"11",0.07958,0.71798,0.02761
1098.3,"11",0.06125,0.72262,0.02681
1098.4,"11",0.03457,0.73113,0.0249
1098.5,"11",0.01146,0.75241,0.02269
1098.6,"11",0.01024,0.77915,0.02137
1098.7,"11",0.0304,0.79654,0.02027
1098.8,"11",0.04826,0.81177,0.01971
1098.9,"11",0.0644,0.81975,0.02032
1099,"11",0.07231,0.81102,0.0216
1099.1,"11",0.0538,0.79338,0.0237
1099.2,"11",0.03289,0.76665,0.02691
1099.3,"11",0.02446,0.73003,0.03041
1099.4,"11",0.02024,0.69482,0.03287
1099.5,"11",0.02842,0.67243,0.03508
1099.6,"11",0.03451,0.65369,0.03664
1099.7,"11",0.02537,0.64117,0.03638
1099.8,"11",0.02231,0.64318,0.03574
1099.9,"11",0.02465,0.64827,0.03722
1100,"11",0.01978,0.63659,0.0395
1100.1,"11",0.02178,0.6195,0.04033
1100.2,"11",0.02754,0.61349,0.04173
1100.3,"11",0.02026,0.60367,0.04303
1100.4,"11",0.01558,0.59478,0.04131
1100.5,"11",0.02213,0.60657,0.03953
1100.6,"11",0.02268,0.61923,0.03949
1100.7,"11",0.02189,0.61955,0.0396
1100.8,"11",0.02164,0.61877,0.04048
1100.9,"11",0.01061,0.6124,0.04084
1101,"11",0.00636,0.60986,0.03923
1101.1,"11",0.01811,0.62146,0.0381
1101.2,"11",0.03125,0.62986,0.038
1101.3,"11",0.04515,0.63065,0.03719
1101.4,"11",0.05728,0.63685,0.03702
1101.5,"11",0.05442,0.63816,0.03883
1101.6,"11",0.04364,0.62441,0.04052
1101.7,"11",0.03482,0.61214,0.04037
1101.8,"11",0.02876,0.61316,0.04029
1101.9,"11",0.02779,0.6138,0.04272
1102,"11",0.02451,0.59689,0.04513
1102.1,"11",0.01843,0.5811,0.04484
1102.2,"11",0.01972,0.58294,0.04473
1102.3,"11",0.02291,0.58362,0.04625
1102.4,"11",0.02184,0.57401,0.0459
1102.5,"11",0.02459,0.57617,0.04354
1102.6,"11",0.02582,0.59138,0.04273
1102.7,"11",0.01729,0.5968,0.04131
1102.8,"11",0.00975,0.60655,0.0383
1102.9,"11",0.0075,0.62837,0.03709
1103,"11",0.00854,0.63761,0.03753
1103.1,"11",0.0159,0.63422,0.03877
1103.2,"11",0.02292,0.62485,0.04223
1103.3,"11",0.02341,0.60022,0.04543
1103.4,"11",0.01705,0.57914,0.04539
1103.5,"11",0.00566,0.57942,0.04488
1103.6,"11",0,0.58265,0.04401
1103.7,"11",0,0.58829,0.04298
1103.8,"11",0.0049,0.59517,0.04393
1103.9,"11",0.02062,0.58885,0.04457
1104,"11",0.02943,0.58469,0.04345
